1. Opportunity Name,2. Region,3. County,4. Location,5. Type,6. Ensemble (if app.),7. Genre,8. Age,9. Level,10. Instruments,11. Other Tags,12. Cost,13. About Opportunity,14. When,15. Opportunity Website / Signup,16. Organisation Name,17. About Organisation,18. Organisation Website,19. Only for London/Local?,20. Extra Notes
Ocean Wind,South East,Hampshire,"Fairfield Infant School, Havant - UK",Ensemble,Wind Band,Orchestral,,Grade 4+,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Percussion, Euphonium, Recorder","Free, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8",Free (voluntary contribution),"New players are welcome all year round, or just come along to have a try before committing to signing up.
Rehearsal Details

Day: Saturday (term time only)

Time: 9:30am

Venue: Fairfield Infant School

Grade: 4 +

Music is selected from a wide range of musical genres to suit players of approximately Grade 4 and upwards. Designed to provide a balance of challenge and support for all players, adaptations can be made to parts where needed, with personalised guidance and encouragement offered by our experienced directors.

Director: Steve Tanner and Lara Jelliff

Price: FREE - Voluntary contributions are welcome","Saturdays (Term Time), 09:30",https://www.portsmouthmusichub.org/ocean-wind,Portsmouth Music Hub,,www.portsmouthmusichub.org,Local Only,
Song Waves,South East,Hampshire,"Langstone Primary Academy, Portsmouth - UK",Ensemble,Choir,Choral,Year R - 7,,,Free,Free (voluntary contribution),,Mondays 16:00 - 16:45,https://www.portsmouthmusichub.org/youngvoices,Portsmouth Music Hub,,,,
Top Brass,South East,Hampshire,"St Paul's Catholic Primary School, Portsmouth - UK",Ensemble,Brass Ensemble,Orchestral,,Beginners +,"Trumpet, Trombone, Tuba, Horns, Euphonium",Free,Free (voluntary contribution),,"Wednesdays (Term Time), 16:00 - 17:00",https://www.portsmouthmusichub.org/top-brass-ensemble,Portsmouth Music Hub,,www.portsmouthmusichub.org,Local Only,
FLOW Rap Sessions,South East,Hampshire,"Mayflower Studios, Southampton - UK",Workshop,,Rap,11 - 16,Any,Rap,"Free, No Experience",Free,"FLOW provides rap group sessions designed to tighten up your rhythms, sharpen your rhymes and improve your flow. These workshops are run as part of the Digital Native Artists (DNA) Programme.

These workshop are FREE to attend for 2025 - sign up via the button below.

","Fortnightly Saturdays 10.30am - 12.00pm at the Music Studio, in Mayflower Studios.",https://www.siowmusic.org/allevents/2025/11/22/flow-rap-session,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
MIX''ZINE,South East,Hampshire,"Mayflower Studios, Southampton - UK",Network,,Other,13 - 25,Any,All,Free,Free,"A connected community for music, events and support: created by young people, for young people.

Join the team, or send us your music!",Monthly Mondays 16:30 - 18:00,https://www.siowmusic.org/allevents/2025/11/10/mixzine-team-meeting,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Music Mentoring (Southampton),South East,Hampshire,"Mayflower Studios, Southampton - UK",Mentoring,,Professional Development,11 - 18,any,All,No Experience,,"Get mentoring and one-to-one support:
Aged 11–18 and want help to create and release music?

With music mentoring, you will get to work with a music expert to craft beats, write lyrics and produce tracks, as well as getting support to release and promote your own music!

Who is it for?

Singers, rappers, songwriters, producers and other musicians!

It doesn’t matter if you’re just starting out, not sure where to go next or have big ambitions - our team are here to help!

What is mentoring?

The opportunity to work with an expert mentor and take your next steps forward!

Try things out and get to know your mentor, then work together on what comes next including scheduling regular sessions at one of our recording studios:

Southampton — Mayflower Studios, City Center

IOW — The Basement, Ryde

Learn new skills, make new connections and work towards and smash your goals!",Sign Up,https://www.siowmusic.org/music-mentoring,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Music Production Collective,South East,Hampshire,"Mayflower Studios, Southampton - UK",Work Experience,,Production/Mixing,11 - 18,Any,Producing,"Free, No Experience",Free,"Music production group sessions, providing a space for collaboration among beat makers, producers and songwriters.

These sessions take place in the Music Studio, in Mayflower Studios.

They are suitable for Ages 11-18
These sessions are FREE. 

You can try out the sessions, or come along regularly",Monthly Mondays 16:30 - 18:00,https://www.siowmusic.org/allevents/2025/11/24/music-production-collective,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Stage Door Rising Stars Open Mic Night ,South East,Hampshire,"Mayflower Studios, Southampton - UK",Performance Opportunity,,Various,Under 18,ANy,,Free,Free ,"SIOW Music is delighted to be partnering with The Stage Door and Golden Groove Productions to create a unique opportunity for young (under 18) musicians in the city to take part in a monthly open mic night!

Our sessions this year are:
Tuesday 14th October 2025
Tuesday 4th November 2025
Tuesday 6th January 2026
Tuesday 3rd February 2026
Tuesday 3rd March 2026
Tuesday 14th April 2026
Tuesday 5th May 2026
Tuesday 2nd June 2026
Tuesday 7th July 2026


Please make sure you book tickets through Stage Door's website before each session (please note, these can be free, or you can make a donation to ensure that these fantastic events can continue!) : https://thestagedoor.org.uk/

Each month we will send you a form to sign up, which will include a space to put which songs your young person would like to perform and links to any backing tracks.

Each night will feature local professional musicians as the house band or artist who will host each night and support young musicians with their performance techniques.  We will provide all the technical requirements and backline (instruments) that you might need to perform - just let us know in the notes below what you need.

The sessions will run from 6 - 9pm upstairs in The Stage Door and parents, friends and family are very welcome to attend and support you.

Please note that anyone in school year 11 or below will need to be chaperoned either by a parent/guardian or by a teacher if attending with a school group.  The Stage Door and Southampton Music Hub will not be responsible for the safeguarding of those taking part",Tuesdays throughout 2025/2026,https://www.siowmusic.org/hub-menu/2024/10/8/stage-door-rising-stars-in-partnership-with-the-stage-door-amp-golden-groove-productions-for-ks3-4-amp-5-5me4p,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
1 - 1 Drumming Lessons,South East,Hampshire,the Base Guildhall - UK,Instrument Lessons,,Rock,11 - 25,All Abilities,Drum Kit,"No Experience, Free",Free,30 minute 1-1 drumming lessons for anyone aged 11-25. These sessions are for any level whether you are a beginner or looking to improve your skills,"Wednesdays 16:00, 16:30, 17:00, 17:30",https://thebaseguildhall.com/booking/,The BASE - Guildhall,"The basement of Portsmouth Guildhall has been transformed into an exciting, new creative space where 11-25 year olds can meet and explore their creative potential!

The BASE gives young people access to:

BAND REHEARSAL ROOM WITH BACKLINE EQUIPMENT
DJ MIXING SPACE
LARGE AV SUITE WITH ACCESS TO SPECIALIST SOFTWARE
SMALL PERFORMANCE SPACE
LOUNGE/CHILL OUT SPACE
EXHIBITION AREA",https://thebaseguildhall.com,Local Only,Free membership required (only PO postcode eligible)
1-1 Guitar Lessons,South East,Hampshire,the Base Guildhall - UK,Instrument Lessons,,Rock,11 - 25,All Abilities,Guitar,"Free, No Experience",Free,"30 minute 1 to 1 guitar lessons for anyone whether you need help with one specific skill or have never played guitar before. These sessions are for any level whether you are a beginner or looking to improve your skills!

Bring your own acoustic guitar or use one of ours",Wednesdays 17:30 - 19:30,https://thebaseguildhall.com/booking/,The BASE - Guildhall,"The basement of Portsmouth Guildhall has been transformed into an exciting, new creative space where 11-25 year olds can meet and explore their creative potential!

The BASE gives young people access to:

BAND REHEARSAL ROOM WITH BACKLINE EQUIPMENT
DJ MIXING SPACE
LARGE AV SUITE WITH ACCESS TO SPECIALIST SOFTWARE
SMALL PERFORMANCE SPACE
LOUNGE/CHILL OUT SPACE
EXHIBITION AREA",https://thebaseguildhall.com,Local Only,Free membership required (only PO postcode eligible)
Build a Band,South East,Hampshire,the base Guildhall - UK,Workshop,,Rock,13 - 21,all abilities,,"Free, No Experience",Free,"Meet other young musicians and improve your band craft, supported by experienced musicians. These sessions are for anyone looking to find their sound– existing bands and those looking for a line-up! Mentoring, advice and help finding those next steps towards finding your sound.
",Fridays 17:30 - 19:30,https://thebaseguildhall.com/booking/,The BASE - Guildhall,"The basement of Portsmouth Guildhall has been transformed into an exciting, new creative space where 11-25 year olds can meet and explore their creative potential!

The BASE gives young people access to:

BAND REHEARSAL ROOM WITH BACKLINE EQUIPMENT
DJ MIXING SPACE
LARGE AV SUITE WITH ACCESS TO SPECIALIST SOFTWARE
SMALL PERFORMANCE SPACE
LOUNGE/CHILL OUT SPACE
EXHIBITION AREA",https://thebaseguildhall.com,Local Only,Free membership required (only PO postcode eligible)
Creative Leader Programme,South East,Hampshire,The Base Guildhall - UK,Work Experience,,Professional Development,18 - 30,,,Free,Free,"With thanks to funding from Arts Council England and Portsmouth Creates, The BASE at Portsmouth Guildhall is excited to partner with SoCo Music Project to launch the Creative Leaders Programme- a free workforce development and support programme for young creative practitioners aged 18-30, in Portsmouth. 

Whether you’re just starting out or looking to grow your creative practice into something bigger, this programme will help you develop the skills, confidence and connections to lead inspiring creative community workshops.

Who Is It For?
This programme is open to anyone aged 18-30 with a creative practice- you don’t need to be teaching, employed full-time, or already earning from your art. Examples of creative practice could be: musician (all genres), spoken word/ poetry artist, digital artist, visual artist, performer, writer, sound engineer, Music production, arts facilitation. This list is not exclusive!

What You’ll Get: 
Professional training in Creative Facilitation and group delivery, Safeguarding, Trauma-Informed Practice and Project Evaluation
Opportunities to shadow experienced artists and work with leading arts organisations in Portsmouth
Space to connect with likeminded creatives and grow your professional network
One-to-one coaching and group check-ins
Explore both the potential of life as a creative, and the steps to take to start making it work for you- whether that’s freelance projects, education, community work, or arts heritage.",Various Dates,https://thebaseguildhall.com/creative-leaders-programme/,The BASE - Guildhall,,https://thebaseguildhall.com,Local Only,Free membership required (only PO postcode eligible)
Harmony - Half Term Project,South East,Hampshire,the base Guildhall - UK,Workshop,,Various,8 - 25,all abilities,,"Free, No Experience",Free,Run in conjunction with 432 NOMADS in partnership with Portsmouth Poetry’s Liz Western and Josh Brown. Creative guidance and support focusing on spoken word and poetry resulting in a sh,Half Terms ,https://thebaseguildhall.com/booking/,The BASE - Guildhall,"The basement of Portsmouth Guildhall has been transformed into an exciting, new creative space where 11-25 year olds can meet and explore their creative potential!

The BASE gives young people access to:

BAND REHEARSAL ROOM WITH BACKLINE EQUIPMENT
DJ MIXING SPACE
LARGE AV SUITE WITH ACCESS TO SPECIALIST SOFTWARE
SMALL PERFORMANCE SPACE
LOUNGE/CHILL OUT SPACE
EXHIBITION AREA",https://thebaseguildhall.com,Local Only,Free membership required (only PO postcode eligible)
"Harmony - Music, Art and Spoken Word",South East,Hampshire,The Base Guildhall - UK,Workshop,,Various,11 - 25,,,,Free,"Run in conjuction with 432 NOMADS. Creative guidance and support focusing on spoken word, art, movement, podcasting and much more. ",Thursdays 17:30 - 19:30,https://thebaseguildhall.com/booking/,The BASE - Guildhall,"The basement of Portsmouth Guildhall has been transformed into an exciting, new creative space where 11-25 year olds can meet and explore their creative potential!

The BASE gives young people access to:

BAND REHEARSAL ROOM WITH BACKLINE EQUIPMENT
DJ MIXING SPACE
LARGE AV SUITE WITH ACCESS TO SPECIALIST SOFTWARE
SMALL PERFORMANCE SPACE
LOUNGE/CHILL OUT SPACE
EXHIBITION AREA",https://thebaseguildhall.com,Local Only,Free membership required (only PO postcode eligible)
Hip Hop Cyphers with Music Fusion,South East,Hampshire,The Base Guildhall - UK,Workshop,,Rap,14 - 25,all abilities,Rap,"Free, No Experience",Free,"Freestyles, Cyphers, Beats, Music Production. Artist support and development. Meet, connect, collaborate & create. Bring projects you’re working on or just come along to try something new.",Tuesdays 17:45 - 19:45,https://thebaseguildhall.com/booking/,The BASE - Guildhall,"The basement of Portsmouth Guildhall has been transformed into an exciting, new creative space where 11-25 year olds can meet and explore their creative potential!

The BASE gives young people access to:

BAND REHEARSAL ROOM WITH BACKLINE EQUIPMENT
DJ MIXING SPACE
LARGE AV SUITE WITH ACCESS TO SPECIALIST SOFTWARE
SMALL PERFORMANCE SPACE
LOUNGE/CHILL OUT SPACE
EXHIBITION AREA",https://thebaseguildhall.com,Local Only,Free membership required (only PO postcode eligible)
Learn to Dj,South East,Hampshire,the base Guildhall - UK,Instrument Lessons,,DJ,11- 25,all abilities,DJ,"Free, No Experience",Free,"1 to 1 lessons for anyone wanting to learn to DJ, whether you’ve never touched the decks before or need some trouble shooting, this is the drop in for you.",Sundays ,https://thebaseguildhall.com/booking/,The BASE - Guildhall,"The basement of Portsmouth Guildhall has been transformed into an exciting, new creative space where 11-25 year olds can meet and explore their creative potential!

The BASE gives young people access to:

BAND REHEARSAL ROOM WITH BACKLINE EQUIPMENT
DJ MIXING SPACE
LARGE AV SUITE WITH ACCESS TO SPECIALIST SOFTWARE
SMALL PERFORMANCE SPACE
LOUNGE/CHILL OUT SPACE
EXHIBITION AREA",https://thebaseguildhall.com,Local Only,Free membership required (only PO postcode eligible)
Music Production,South East,Hampshire,the Base Guildhall - UK,Workshop,,Production/Mixing,11 - 25,All Abilities,"Producing, DJ","Free, No Experience",Free,Explore music production and Djing with Villainous DnB,Tuesday 31st March 15:00 - 17:30,https://thebaseguildhall.com/booking/,The BASE - Guildhall,"The basement of Portsmouth Guildhall has been transformed into an exciting, new creative space where 11-25 year olds can meet and explore their creative potential!

The BASE gives young people access to:

BAND REHEARSAL ROOM WITH BACKLINE EQUIPMENT
DJ MIXING SPACE
LARGE AV SUITE WITH ACCESS TO SPECIALIST SOFTWARE
SMALL PERFORMANCE SPACE
LOUNGE/CHILL OUT SPACE
EXHIBITION AREA",https://thebaseguildhall.com,Local Only,Free membership required (only PO postcode eligible)
Open Decks,South East,Hampshire,The Base Guildhall - UK,Workshop,,DJ,11 - 25,,DJ,,Free,"Listen, share new music and meet other electronic bass music lovers…

These sessions are hosted by Villainous DnB. Based in Portsmouth, Villainous DnB is a record label and music collective led by Vylan and Psyclone; curating the most exciting new selections in underground Drum and Bass and showcasing underappreciated talent in the scene.",Sundays 14:30 - 17:00 (monthly),https://thebaseguildhall.com/booking/,The BASE - Guildhall,"The basement of Portsmouth Guildhall has been transformed into an exciting, new creative space where 11-25 year olds can meet and explore their creative potential!

The BASE gives young people access to:

BAND REHEARSAL ROOM WITH BACKLINE EQUIPMENT
DJ MIXING SPACE
LARGE AV SUITE WITH ACCESS TO SPECIALIST SOFTWARE
SMALL PERFORMANCE SPACE
LOUNGE/CHILL OUT SPACE
EXHIBITION AREA",https://thebaseguildhall.com,Local Only,Free membership required (only PO postcode eligible)
Playback,South East,Hampshire,the Base Guildhall - UK,Workshop,,Production/Mixing,18 +,all Abilities,"Songwriting, Producing, Composing","Free, No Experience",Free,"A night to show off your work-in-progress tracks.
 
PLAYBACK is an evening to test out your latest track, give and receive feedback and meet new people. Whether you just need advice on the ending, the mix, or the lyrics, or if it’s a rough idea and you don’t know where to take it…  Meet with like-minded musicians and receive constructive feedback on how to take your music to the next level, and share your knowledge in return.
Just get in touch with us via hello@thebaseguildhall.com or our Instagram, and send us your track (a soundcloud link/google drive is best), or bring it on the night. Let us know what kind of feedback you want, and what you don’t! Feedback will be friendly and constructive from the group, and then, even better, talk to people afterwards, and get into the weeds of snare selection and panning.
 
The evening is hosted by The BASE Guildhall and Liam Quinn. Liam is a composer and sound designer working music for media with 15 years of experience.",Various Dates,https://thebaseguildhall.com/booking/,The BASE - Guildhall,"The basement of Portsmouth Guildhall has been transformed into an exciting, new creative space where 11-25 year olds can meet and explore their creative potential!

The BASE gives young people access to:

BAND REHEARSAL ROOM WITH BACKLINE EQUIPMENT
DJ MIXING SPACE
LARGE AV SUITE WITH ACCESS TO SPECIALIST SOFTWARE
SMALL PERFORMANCE SPACE
LOUNGE/CHILL OUT SPACE
EXHIBITION AREA",https://thebaseguildhall.com,Local Only,Free membership required (only PO postcode eligible)
Your Base Plan,South East,Hampshire,the Base Guildhall - UK,Mentoring,,Various,11 - 30,all abilities,,"Free, No Experience",Free,"Thinking about a creative future? Whatever your dreams are, Your BASEplan is set up to advocate and support your future in the creative and cultural industries.

Maybe you already know what you want to do creatively; but are unsure how to begin? Or you have already begun; but are not sure what comes next? 

No matter what stage you are at Your BASEplan is a flexible drop-in opportunity for any young person aged 11-30. Come to The Base Guildhall and find the support of creative professionals, to work through your aspirations in search of practical plans.

Sessions will offer you scope to:

Talk through your ideas and goals
Ask and answer your questions about creative careers
Understand what creative careers really look like
Advance in an area you are already developing
Get advice from someone who’s working in the industry
Start/continue shaping your own path with professional guidance",Wednesday Afternoons,https://thebaseguildhall.com/booking/,The BASE - Guildhall,"The basement of Portsmouth Guildhall has been transformed into an exciting, new creative space where 11-25 year olds can meet and explore their creative potential!

The BASE gives young people access to:

BAND REHEARSAL ROOM WITH BACKLINE EQUIPMENT
DJ MIXING SPACE
LARGE AV SUITE WITH ACCESS TO SPECIALIST SOFTWARE
SMALL PERFORMANCE SPACE
LOUNGE/CHILL OUT SPACE
EXHIBITION AREA",https://thebaseguildhall.com,Local Only,Free membership required (only PO postcode eligible)
Music Mentoring (Isle of Wight),South East,Hampshire,"The Basement, Ryde, Isle of Wight - UK",Mentoring,,Professional Development,11 - 18,any,,No Experience,,,,https://www.siowmusic.org/music-mentoring,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Airplay,South East,Hampshire,"Cantell School, Southampton - UK",Ensemble,Wind Band,Orchestral,Under 18?,Pre-grade 1 - 3,,"Preparatory, Grade 1, Grade 2, Grade 3",enquire for more info,Entry level wind band playing popular classics,Thursdays 16:30 - 17:30,https://www.siowmusic.org/airplay,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Southampton BOOM,South East,Hampshire,"Cantell School, Southampton - UK",Ensemble,Percussion Ensemble,Orchestral,Young players of all ages,Beginners +,Percussion,No Experience,enquire for more info,Percussion group for young players of all ages and experiences,Tuesdays 16:30 - 17:15,https://www.siowmusic.org/boom,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Southampton Brassroots,South East,Hampshire,"Richard Taunton Sixth Form, Southampton - UK",Ensemble,Brass Ensemble,Orchestral,Young players of all ages,5 notes - grade 3,,"Preparatory, Grade 1, Grade 2, Grade 3",enquire for more info,"Entry level brassband, playing a range of popular and well known pieces",Tuesdays 17:00 - 18:00,https://www.siowmusic.org/brassroots,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Elgar (Southampton),South East,Hampshire,"Cantell School, Southampton - UK",Ensemble,String Ensemble,Orchestral,Young players of all ages,Grade 1 -3,"Violin, Viola, Cello, Double Bass","Grade 1, Grade 2, Grade 3",enquire for more info,"String group for younger players, grades 1 -3",Mondays 16:00 - 17:30,https://www.siowmusic.org/elgar,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Folk Active Youth Ensemble,South East,Hampshire,"cantell School, Southampton - UK",Ensemble,Folk Ensemble,Folk,11 - 19 (acoustic instruments),Confidence to hold tune without sheet music,,,£156 per year,"The FolkActive Youth Ensemble (FAYE) is open to musicians aged 11-19 who want to develop their folk music skills in a welcoming and inclusive environment. You’ll receive expert tuition and grow as a musician while having fun, learning to improvise harmonies, compose tunes, and play by ear. You’ll explore folk techniques, including common modes and tune types, enhance your instrumental technique and musicianship, and gain skills in arranging music and performing with confidence.

It’s also a chance to make friends and connect with like-minded people! The ensemble offers plenty of social opportunities to build relationships.

You’ll need your own acoustic instrument and the confidence to hold a tune or musical idea without sheet music.

The ensemble is led by Chris Nichols, educator and founder of the folk band Threepenny Bit.",Sundays 10:00 - 12:00,https://www.folkactive.org.uk/education/youth-ensemble/,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Girls Make Music,South East,Hampshire,"Mayflower Studios, Southampton - UK",Workshop,,Production/Mixing,11 - 18 (or 21?),all abilities,"Producing, Songwriting","Women/Non-Binary, Free",Free,"Girls Make Music - a 2 day short course in Music Production - for girls aged 13-18!

In this course, we will explore:

Music Production

Songwriting

Recording

Using BandLab & other music production software!

We encourage exploration and collaboration with each other, fostering diversity and inclusion in our sessions.

Whether you are just starting out on your musical journey or you’re well on your way, the club is open to all regardless of your musical experience.

This is a course that will take place over 2 days at our Music Studio in Mayflower Studios. 

If there is a high amount of demand for spaces on the 2 day course, we may instead offer everyone a 1 day course that will take place on the 8th and 9th, to enable more people to attend and get the support they need!",8th - 9th April (10:00 - 15:00),https://www.siowmusic.org/girlsmakemusic,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Groove Merchant,South East,Hampshire,"Bitterne Park School, Southampton - UK",Ensemble,Rock Band,Rock,Young players of all ages,Grade 5+,"Piano/Keys, Guitar, Bass Guitar, Singing, Drum Kit, Rap","Grade 5, Grade 6, Grade 7, Grade 8",enquire for more info,"Rock Band, playing and performing contemporary songs to classic rock and pop from the past",Thursdays 16:45 - 17:45,https://www.siowmusic.org/groovemerchant,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Groove Syndicate,South East,Hampshire,"cantell School, Southampton - UK",Ensemble,Rock Band,Rock,Young players of all ages,Grade 3 - 5,"Piano/Keys, Guitar, Bass Guitar, Singing, Drum Kit, Rap","Grade 3, Grade 4, Grade 5",enquire for more info,"Rock Band, playing and performing contemporary songs to classic rock and pop from the past",Wednesdays 16:45 - 17:45,https://www.siowmusic.org/groovesindicate,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Pulse8,South East,Hampshire,"Richard Taunton Sixth Form, Southampton - UK",Ensemble,Wind Band,Orchestral,Young players of all ages,Grade 3 - 5,,"Grade 3, Grade 4, Grade 5",enquire for more info,"Windband, playing and performing popular classics to music from the stage and screen",Mondays 16:50 - 18:20,https://www.siowmusic.org/pulse8,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Southampton Youth Brass Band,South East,Hampshire,"Richard Taunton Sixth Form, Southampton - UK",Ensemble,Brass Ensemble,Orchestral,Young players of all ages,Grade 3+,,"Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8",enquire for more info,"Community band playing and performing original brass band compositions and music from films, theatre/stage and screen",Tuesdays 16:45 - 18:45,https://www.siowmusic.org/sybb,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Southampton Youth Concert Symphonia,South East,Hampshire,"cantell School, Southampton - UK",Ensemble,Orchestra,Orchestral,Young players of all ages,Grade 5+,,"Grade 5, Grade 6, Grade 7, Grade 8",enquire for more info,"An orchestra with over 80 players, playing and performing classical music and music from films, shows & musicals",Wednesdays 18:15 - 20:15,https://www.siowmusic.org/sybb,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Southampton Youth Orchestra,South East,Hampshire,Southampton - UK,Ensemble,Orchestra,Orchestral,Young players of all ages,Grade 7+,,"Grade 7, Grade 8",enquire for more info,"A full orchestra for more advanced players, performing well known symphonic repertoire as well as specially commissioned pieces",Various times/locations,https://www.siowmusic.org/syo,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Southampton Youth Strings,South East,Hampshire,"cantell School, Southampton - UK",Ensemble,String Ensemble,Orchestral,Young players of all ages,Grades 3 - 5,"Violin, Viola, Cello, Double Bass","Grade 3, Grade 4, Grade 5",enquire for more info,"A string ensemble, playing and performing a range of modern and classical music, including themes from shows and films",Mondays 17:00 - 18:30,https://www.siowmusic.org/sys,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Southampton Youth Wind Band,South East,Hampshire,"Richard Taunton Sixth Form, Southampton - UK",Ensemble,Wind Band,Orchestral,Young players of all ages,Grade 6+,,"Grade 6, Grade 7, Grade 8",enquire for more info,"Wind band playing and performing music from film/TV, pop and show tunes to classical music and original compositions",Thursdays 17:00 - 19:00,https://www.siowmusic.org/sywb,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Studio Band,South East,Hampshire,"Richard Taunton Sixth Form, Southampton - UK",Ensemble,Jazz Band,Jazz,Young players of all ages,Grade 6+,,"Grade 6, Grade 7, Grade 8",enquire for more info,"A big band jazz group, learning, playing and performing music from traditional big band favourites to special arrangements. Foremerly known as Jazz workshop",Saturdays 9:45 - 11:45,https://www.siowmusic.org/studioband,SIOW Music,"The new home for Southampton Music Hub, IOW Music Hub and Southampton Music Services

Empowering children and young people to make, learn and love music",https://www.siowmusic.org,,
Art Asia,South East,Hampshire,"cantell School, Southampton - UK",Classes,,Other,7+,beginners,Singing,No Experience,£100 for 10 lessons,"Beginners classes in carnatic music, a form of Indian classical music with origins in Southern India. Vocal singing lessons suitable for ages 7+",Saturdays 11:30 - 12:30,https://artasia.org.uk/classes/carnatic-music/,Art Asia,,https://artasia.org.uk,,
Art Asia - Singing and Harmonium,South East,Hampshire,"cantell School, Southampton - UK",Classes,,,6+,mixed abilities,Singing,,£100 for 10 lessons,"Students learn different traditional and scientific methods to enhance the tonal quality of voice, its pitch and projection.

Each singing and Harmonium for mixed abilities lesson begins with vocal exercises to strengthen and improve the quality of voice. The students would learn different forms of Indian music such as classical music, different ragas and they can learn to sing different tunes of Bollywood music. In addition, the students also learn basics of playing Harmonium. The emphasis of the classes is to improve and develop vocal skills and to give an insight into Indian and Bollywood music.

The Singing and Harmonium – mixed abilities class is led by Pooja Angra. Pooja has over 20 years of experience in teaching Indian Music. She has been teaching at Art Asia for last 15 years. Pooja has held several workshops at schools, colleges, music centres and music festivals. She has also been actively involved in designing and delivering several cross-generational and cross-cultural educational and artistic projects.

Pooja’s teaching techniques and range include: 

Motivational approach
Knowledge dissemination to a wide range of age groups
Periodic evaluation through series of tests
Participative curriculum through direct exposure to stage shows
Unique display of Indian music on music instruments like Violin, Saxophone, Keyboard and Guitar
Training for improved voice
Lessons on Hindustani classical, Semi-classical, Bollywood, Ghazals, Bhajans, Shabads, Sufi and Folk songs.",Tuesdays 18:00 - 19:00,https://artasia.org.uk/classes/singing-harmonium-mixed-abilities-classes/,Art Asia,,https://artasia.org.uk,,
